Semester,Final Score,Final Grade
Fall 2020,94.24,A
Fall 2020,93.35,A
Fall 2020,99.72,A
Fall 2020,94.75,A
Fall 2020,75.99,BC
Fall 2020,98.15,A
Fall 2020,97.15,A
Fall 2020,99.14,A
Fall 2020,94.84,A
Fall 2020,97.01,A
Fall 2020,93.42,A
Fall 2020,98.69,A
Fall 2020,98.44,A
Fall 2020,98.66,A
Fall 2020,84.39,B
Fall 2020,86.91,AB
Fall 2020,92.61,A
Fall 2020,99.31,A
Fall 2020,99.17,A
Fall 2020,95.84,A
Fall 2020,93.55,A
Fall 2020,95.18,A
Fall 2020,92.5,A
Fall 2020,97.01,A
Fall 2020,97.6,A
Fall 2020,90.08,AB
Fall 2020,96,A
Fall 2020,91.37,AB
Fall 2020,91.93,AB
Fall 2020,99.5,A
Fall 2020,87.58,AB
Fall 2020,96.83,A
Fall 2020,95.02,A
Fall 2020,81.19,B
Fall 2020,94.27,A
Fall 2020,98.56,A
Fall 2020,89.32,AB
Fall 2020,97.79,A
Fall 2020,96.88,A
Fall 2020,83.03,B
Fall 2020,83.02,B
Fall 2020,83.03,B
Fall 2020,98.09,A
Fall 2020,93.41,A
Fall 2020,89.69,AB
Fall 2020,85.42,B
Fall 2020,89.4,AB
Fall 2020,86.17,AB
Fall 2020,92,A
Fall 2020,94.16,A
Fall 2020,98.49,A
Fall 2020,95.75,A
Fall 2020,98.07,A
Fall 2020,98.82,A
Fall 2020,87.12,AB
Fall 2020,97.01,A
Fall 2020,93.14,A
Fall 2020,98.13,A
Fall 2020,99.29,A
Fall 2020,97.97,A
Fall 2020,95.75,A
Fall 2020,99.11,A
Fall 2020,93.66,A
Fall 2020,91.75,AB
Fall 2020,87.87,AB
Fall 2020,96.27,A
Fall 2020,93.89,A
Fall 2020,96.81,A
Fall 2020,95.75,A
Fall 2020,90.35,AB
Fall 2020,84.27,B
Fall 2020,78.85,BC
Fall 2020,98.94,A
Fall 2020,81.18,B
Fall 2020,94.03,A
Fall 2020,92.29,A
Fall 2020,93.88,A
Fall 2020,93.13,A
Fall 2020,94.71,A
Fall 2020,98.01,A
Fall 2020,93.22,A
Fall 2020,94.83,A
Fall 2020,90.23,AB
Fall 2020,96.61,A
Fall 2020,96.71,A
Fall 2020,94.73,A
Fall 2020,95.91,A
Fall 2020,85.48,B
Fall 2020,32.38,F
Fall 2020,95.67,A
Fall 2020,95.2,A
Fall 2020,100.28,A
Fall 2020,98.66,A
Fall 2020,92.39,A
Fall 2020,95.04,A
Fall 2020,98.86,A
Fall 2020,91.66,AB
Fall 2020,96.34,A
Fall 2020,97.4,A
Fall 2020,95.95,A
Fall 2020,95.89,A
Fall 2020,100.8,A
Fall 2020,92.87,A
Fall 2020,96.18,A
Fall 2020,98.11,A
Fall 2020,90.28,AB
Fall 2020,94.37,A
Fall 2020,84.52,B
Fall 2020,91.25,AB
Fall 2020,99.29,A
Fall 2020,87.53,AB
Fall 2020,89.19,AB
Fall 2020,96.63,A
Fall 2020,97.61,A
Fall 2020,91.91,AB
Fall 2020,89.17,AB
Fall 2020,92.82,A
Fall 2020,97.99,A
Fall 2020,76.22,BC
Fall 2020,93.75,A
Fall 2020,93.64,A
Fall 2020,94.09,A
Fall 2020,99.97,A
Fall 2020,77.41,BC
Fall 2020,100.27,A
Fall 2020,95.68,A
Fall 2020,95.66,A
Fall 2020,80.84,B
Fall 2020,90.92,AB
Fall 2020,87.09,AB
Fall 2020,95.19,A
Fall 2020,99.59,A
Fall 2020,95.44,A
Fall 2020,90.2,AB
Fall 2020,84.76,B
Fall 2020,82.78,B
Fall 2020,98.91,A
Fall 2020,90.53,AB
Fall 2020,90.42,AB
Fall 2020,99.67,A
Fall 2020,95.24,A
Fall 2020,97.66,A
Fall 2020,95.52,A
Fall 2020,79.5,BC
Fall 2020,87.35,AB
Fall 2020,97.44,A
Fall 2020,91.7,AB
Fall 2020,99.47,A
Fall 2020,93.61,A
Fall 2020,88.61,AB
Fall 2020,84.42,B
Fall 2020,85.13,B
Fall 2020,94.98,A
Fall 2020,86.09,AB
Fall 2020,86.97,AB
Fall 2020,91.27,AB
Fall 2020,93.95,A
Fall 2020,87.62,AB
Fall 2020,97.35,A
Fall 2020,95.07,A
Fall 2020,93.43,A
Fall 2020,85.11,B
Fall 2020,94.47,A
Fall 2020,93.43,A
Fall 2020,95.55,A
Fall 2020,97.21,A
Fall 2020,93.34,A
Fall 2020,96.71,A
Fall 2020,94.83,A
Fall 2020,96.18,A
Fall 2020,85.37,B
Fall 2020,98.55,A
Fall 2020,94.5,A
Fall 2020,93.82,A
Fall 2020,87.33,AB
Fall 2020,97.88,A
Fall 2020,83.4,B
Fall 2020,98.05,A
Fall 2020,99.59,A
Fall 2020,93.86,A
Fall 2020,97.71,A
Fall 2020,89.89,AB
Fall 2020,93.19,A
Fall 2020,97.67,A
Fall 2020,97.97,A
Fall 2020,97.18,A
Fall 2020,97.35,A
Fall 2020,88.92,AB
Fall 2020,96.84,A
Fall 2020,95.66,A
Fall 2020,96.57,A
Fall 2020,92.11,A
Fall 2020,94.37,A
Fall 2020,94.13,A
Fall 2020,94.3,A
Fall 2020,92.5,A
Fall 2020,95.91,A
Fall 2020,93.14,A
Fall 2020,96.86,A
Semester,Final Score,Final Grade
Fall 2019,89.42,AB
Fall 2019,79.58,BC
Fall 2019,84.03,B
Fall 2019,77.88,BC
Fall 2019,69.82,F
Fall 2019,79.03,BC
Fall 2019,79.6,BC
Fall 2019,84.82,B
Fall 2019,86.16,AB
Fall 2019,75.99,BC
Fall 2019,83.27,B
Fall 2019,81.15,B
Fall 2019,85.33,AB
Fall 2019,81.84,B
Fall 2019,81.54,B
Fall 2019,62.7,F
Fall 2019,79.5,BC
Fall 2019,79.61,BC
Fall 2019,83.37,B
Fall 2019,80.83,B
Fall 2019,88.27,AB
Fall 2019,93.29,A
Fall 2019,78.37,BC
Fall 2019,84.32,B
Fall 2019,73.7,C
Fall 2019,79.38,BC
Fall 2019,83.09,B
Fall 2019,67.84,F
Fall 2019,77.76,BC
Fall 2019,82.36,B
Fall 2019,81.69,B
Fall 2019,76.49,BC
Fall 2019,76.47,BC
Fall 2019,84.26,B
Fall 2019,78.12,BC
Fall 2019,71.26,C
Fall 2019,63.22,F
Fall 2019,88.76,AB
Fall 2019,85.61,AB
Fall 2019,79.15,BC
Fall 2019,87.85,AB
Fall 2019,80.15,B
Fall 2019,82.4,B
Fall 2019,81.8,B
Fall 2019,86.79,AB
Fall 2019,74.18,C
Fall 2019,84.54,B
Fall 2019,86.97,AB
Fall 2019,73.31,C
Fall 2019,87.3,AB
Fall 2019,84.99,B
Fall 2019,82.69,B
Fall 2019,83.66,B
Fall 2019,72.65,C
Fall 2019,74.66,C
Fall 2019,75.92,BC
Fall 2019,86.39,AB
Fall 2019,75.34,BC
Fall 2019,66.87,F
Fall 2019,82.54,B
Fall 2019,82.84,B
Fall 2019,79.19,BC
Fall 2019,86.57,AB
Fall 2019,86.91,AB
Fall 2019,88.1,AB
Fall 2019,84.6,B
Fall 2019,82.89,B
Fall 2019,86.19,AB
Fall 2019,81.99,B
Fall 2019,75.07,BC
Fall 2019,83.67,B
Fall 2019,86,AB
Fall 2019,81.85,B
Fall 2019,70.97,C
Fall 2019,91.97,AB
Fall 2019,82.15,B
Fall 2019,83.36,B
Fall 2019,82.65,B
Fall 2019,78.05,BC
Fall 2019,83.7,B
Fall 2019,72.89,C
Fall 2019,70.74,C
Fall 2019,86.78,AB
Fall 2019,83.26,B
Fall 2019,82.57,B
Fall 2019,87.97,AB
Fall 2019,78.28,BC
Fall 2019,82.45,B
Fall 2019,80.05,B
Fall 2019,75.83,BC
Fall 2019,81.37,B
Fall 2019,88.85,AB
Fall 2019,78.48,BC
Fall 2019,69.83,F
Fall 2019,71.77,C
Fall 2019,82.82,B
Fall 2019,84.26,B
Fall 2019,79.88,BC
Fall 2019,82,B
Fall 2019,85.5,AB
Fall 2019,75.36,BC
Fall 2019,81.54,B
Fall 2019,83.34,B
Fall 2019,93.24,A
Fall 2019,85.66,AB
Fall 2019,88.48,AB
Fall 2019,82.95,B
Fall 2019,82.92,B
Fall 2019,83.98,B
Fall 2019,93.08,A
Fall 2019,86.7,AB
Fall 2019,73.48,C
Fall 2019,82.51,B
Fall 2019,85.37,AB
Fall 2019,84.89,B
Fall 2019,82.72,B
Fall 2019,79.85,BC
Fall 2019,84.56,B
Fall 2019,84.01,B
Fall 2019,83.25,B
Fall 2019,90.88,AB
Fall 2019,85.31,AB
Fall 2019,92.74,A
Fall 2019,87.96,AB
Fall 2019,87.28,AB
Fall 2019,86.79,AB
Fall 2019,82.39,B
Fall 2019,81.25,B
Fall 2019,87.04,AB
Fall 2019,86.45,AB
Fall 2019,77.3,BC
Fall 2019,81.52,B
Fall 2019,75.18,BC
Fall 2019,83.12,B
Fall 2019,84.84,B
Fall 2019,73.36,C
Fall 2019,77.33,BC
Fall 2019,84.08,B
Fall 2019,69.96,F
Fall 2019,84.17,B
Fall 2019,81.24,B
Fall 2019,83.69,B
Fall 2019,77.59,BC
Fall 2019,83.19,B
Fall 2019,82.78,B
Fall 2019,78.55,BC
Fall 2019,75.4,BC
Fall 2019,84.64,B
Fall 2019,83.97,B
Fall 2019,77.64,BC
Fall 2019,83.86,B
Fall 2019,91.59,AB
Fall 2019,83.93,B
Fall 2019,82.28,B
Fall 2019,88.55,AB
Fall 2019,83.62,B
Fall 2019,86.41,AB
Fall 2019,80.27,B
Fall 2019,84.76,B
Fall 2019,76.29,BC
Fall 2019,82.15,B
Fall 2019,87.71,AB
Fall 2019,84.33,B
Fall 2019,0,U
Fall 2018,72.52,C
Fall 2018,79.81,BC
Fall 2018,86.94,AB
Fall 2018,68.16,F
Fall 2018,86.56,AB
Fall 2018,89.69,AB
Fall 2018,87.74,AB
Fall 2018,94.52,A
Fall 2018,82.27,B
Fall 2018,81.24,B
Fall 2018,94.8,A
Fall 2018,83.31,B
Fall 2018,78.3,BC
Fall 2018,76.47,BC
Fall 2018,82.14,B
Fall 2018,80.88,B
Fall 2018,81.2,B
Fall 2018,73.76,C
Fall 2018,95.25,A
Fall 2018,90.07,AB
Fall 2018,82.86,B
Fall 2018,91.63,AB
Fall 2018,79.11,BC
Fall 2018,78.51,BC
Fall 2018,81.06,B
Fall 2018,83.05,B
Fall 2018,92.76,A
Fall 2018,80.08,B
Fall 2018,89.9,AB
Fall 2018,89.49,AB
Fall 2018,86.76,AB
Fall 2018,87.68,AB
Fall 2018,89.24,AB
Fall 2018,82.55,B
Fall 2018,85.52,B
Fall 2018,75.92,BC
Fall 2018,74.98,C
Fall 2018,89,AB
Fall 2018,93.68,A
Fall 2018,87.28,AB
Fall 2018,85.47,B
Fall 2018,69.28,F
Fall 2018,95.98,A
Fall 2018,80.45,B
Fall 2018,92.01,A
Fall 2018,88.7,AB
Fall 2018,62.5,F
Fall 2018,83.28,B
Fall 2018,79.49,BC
Fall 2018,65.94,F
Fall 2018,88.89,AB
Fall 2018,86.17,AB
Fall 2018,89.97,AB
Fall 2018,85.01,B
Fall 2018,89.64,AB
Fall 2018,93.36,A
Fall 2018,86.04,AB
Fall 2018,66.93,F
Fall 2018,90.01,AB
Fall 2018,95.26,A
Fall 2018,92.72,A
Fall 2018,96.32,A
Fall 2018,92.78,A
Fall 2018,77.65,BC
Fall 2018,65.65,F
Fall 2018,75.42,BC
Fall 2018,80.91,B
Fall 2018,87.78,AB
Fall 2018,76.84,BC
Fall 2018,79.82,BC
Fall 2018,80.93,B
Fall 2018,76.94,BC
Fall 2018,72.71,C
Fall 2018,74.3,C
Fall 2018,86.59,AB
Fall 2018,75.91,BC
Fall 2018,84.89,B
Fall 2018,64.72,F
Fall 2018,78.01,BC
Fall 2018,79.82,BC
Fall 2018,84.82,B
Fall 2018,78.34,BC
Fall 2018,83.43,B
Fall 2018,80,B
Fall 2018,89.51,AB
Fall 2018,80.1,B
Fall 2018,86.32,AB
Fall 2018,92.76,A
Fall 2018,75.07,BC
Fall 2018,86.46,AB
Fall 2018,79.51,BC
Fall 2018,70.35,C
Fall 2018,88.53,AB
Fall 2018,82.64,B
Fall 2018,80.95,B
Fall 2018,94.86,A
Fall 2018,78.53,BC
Fall 2018,76.68,BC
Fall 2018,70.39,C
Fall 2018,70.4,C
Fall 2018,89.39,AB
Fall 2018,90.5,AB
Fall 2018,77.27,BC
Fall 2018,71.91,C
Fall 2018,92.02,A
Fall 2018,75.15,BC
Fall 2018,83.79,B
Fall 2018,74.1,C
Fall 2018,88.49,AB
Fall 2018,89.41,AB
Fall 2018,73.56,C
Fall 2018,76.44,BC
Fall 2018,79.26,BC
Fall 2018,82.06,B
Fall 2018,84.81,B
Fall 2018,82.96,B
Fall 2018,82.7,B
Fall 2018,86.58,AB
Fall 2018,76.7,BC
Fall 2018,70.35,C
Fall 2018,84.55,B
Fall 2018,88.21,AB
Fall 2018,85.45,B
Fall 2018,74.27,C
Fall 2018,77.82,BC
Fall 2018,91.5,AB
Fall 2018,85.16,B
Fall 2018,89.93,AB
Fall 2018,91.42,AB
Fall 2018,70.05,C
Fall 2018,80.64,B
Fall 2018,85.93,B
Fall 2018,63.1,F
Fall 2018,88.4,AB
Fall 2018,88.8,AB
Fall 2018,81.33,B
Fall 2018,79.62,BC
Fall 2018,92.3,A
Fall 2018,91.74,AB
Fall 2018,81.9,B
Fall 2018,89.1,AB
Fall 2018,88.51,AB
Fall 2018,85.76,B
Fall 2018,83.6,B
Fall 2018,85.52,B
Fall 2018,75.12,BC
Fall 2018,85.31,B
Fall 2018,81.97,B
Fall 2018,77.91,BC
Fall 2018,67.28,F
Fall 2018,79.01,BC
Fall 2018,77.97,BC
Fall 2018,92.46,A
Fall 2018,75.63,BC
Fall 2018,78.31,BC
Fall 2018,79.13,BC
Fall 2018,88.18,AB
Fall 2018,87.82,AB
Fall 2018,85.34,B
Fall 2018,74.97,C
Fall 2018,82.57,B
Fall 2018,87.92,AB
Fall 2018,88.71,AB
Fall 2018,62.62,F
Fall 2018,91.35,AB
Fall 2018,86.25,AB
Fall 2018,94.09,A
Fall 2018,83.37,B
Fall 2018,87.44,AB
Fall 2018,95.6,A
Fall 2018,79.15,BC
Fall 2018,82,B
Fall 2018,74.83,C
Fall 2018,88.53,AB
Fall 2018,94.54,A
Fall 2018,88.97,AB
Fall 2018,85.04,B
Fall 2018,86.58,AB
Fall 2018,78.77,BC
Fall 2018,89.47,AB
Fall 2018,86.66,AB
Fall 2018,83.66,B
Fall 2018,0.37,F
Fall 2017,72.75,C
Fall 2017,71.98,C
Fall 2017,70.01,C
Fall 2017,81.17,B
Fall 2017,80.03,B
Fall 2017,79.32,BC
Fall 2017,74.56,C
Fall 2017,78.48,BC
Fall 2017,78.76,BC
Fall 2017,67.92,F
Fall 2017,68.08,F
Fall 2017,85.47,AB
Fall 2017,77.44,BC
Fall 2017,61.48,F
Fall 2017,83.94,B
Fall 2017,80.58,B
Fall 2017,63.76,F
Fall 2017,78.26,BC
Fall 2017,77.88,BC
Fall 2017,77.52,BC
Fall 2017,76.26,BC
Fall 2017,84.24,B
Fall 2017,84.29,B
Fall 2017,47.31,F
Fall 2017,76.73,BC
Fall 2017,77.46,BC
Fall 2017,71.53,C
Fall 2017,64.37,F
Fall 2017,82.85,B
Fall 2017,90.1,AB
Fall 2017,74,C
Fall 2017,70.5,C
Fall 2017,77.42,BC
Fall 2017,77.63,BC
Fall 2017,68.07,F
Fall 2017,77.98,BC
Fall 2017,75.1,BC
Fall 2017,67.88,F
Fall 2017,76.6,BC
Fall 2017,79.87,BC
Fall 2017,71.86,C
Fall 2017,80.44,B
Fall 2017,71.82,C
Fall 2017,75.06,BC
Fall 2017,77.47,BC
Fall 2017,69.23,F
Fall 2017,69.92,F
Fall 2017,78.02,BC
Fall 2017,69.33,F
Fall 2017,76.38,BC
Fall 2017,78.82,BC
Fall 2017,78.46,BC
Fall 2017,72.15,C
Fall 2017,68.47,F
Fall 2017,75.34,BC
Fall 2017,72.93,C
Fall 2017,66.36,F
Fall 2017,67.95,F
Fall 2017,77.64,BC
Fall 2017,75.07,BC
Fall 2017,76.93,BC
Fall 2017,68.62,F
Fall 2017,50.88,F
Fall 2017,79.17,BC
Fall 2017,82.56,B
Fall 2017,74.76,C
Fall 2017,63.84,F
Fall 2017,69.23,F
Fall 2017,76.46,BC
Fall 2017,65.91,F
Fall 2017,82.17,B
Fall 2017,83.33,B
Fall 2017,83.87,B
Fall 2017,78.07,BC
Fall 2017,74.89,C
Fall 2017,68.04,F
Fall 2017,63.38,F
Fall 2017,70.99,C
Fall 2017,69.6,F
Fall 2017,76.66,BC
Fall 2017,77.04,BC
Fall 2017,82.04,B
Fall 2017,75.14,BC
Fall 2017,79.96,BC
Fall 2017,79.37,BC
Fall 2017,73.32,C
Fall 2017,68.35,F
Fall 2017,83.41,B
Fall 2017,75.61,BC
Fall 2017,70.24,C
Fall 2017,78.89,BC
Fall 2017,69.08,F
Fall 2017,74.69,C
Fall 2017,72.11,C
Fall 2017,71.27,C
Fall 2017,71.3,C
Fall 2017,65.07,F
Fall 2017,77.66,BC
Fall 2017,71.03,C
Fall 2017,71.05,C
Fall 2017,66.22,F
Fall 2017,75.46,BC
Fall 2017,73.5,C
Fall 2017,72.9,C
Fall 2017,63.95,F
Fall 2017,82.32,B
Fall 2017,73.72,C
Fall 2017,66.76,F
Fall 2017,72.21,C
Fall 2017,75.47,BC
Fall 2017,76.77,BC
Fall 2017,68.76,F
Fall 2017,80.27,B
Fall 2017,80.5,B
Fall 2017,79.32,BC
Fall 2017,73.86,C
Fall 2017,78.22,BC
Fall 2017,78.23,BC
Fall 2017,74.94,C
Fall 2017,73.93,C
Fall 2017,78.08,BC
Fall 2017,71.99,C
Fall 2017,78.93,BC
Fall 2017,74.53,C
Fall 2017,74.65,C
Fall 2017,76.34,BC
Fall 2017,75.84,BC
Fall 2017,82.28,B
Fall 2017,76.38,BC
Fall 2017,70.28,C
Fall 2017,69.17,F
Fall 2017,76.78,BC
Fall 2017,64.84,F
Fall 2017,68.29,F
Fall 2017,72.21,C
Fall 2017,74.05,C
Fall 2017,78.13,BC
Fall 2017,74.1,C
Fall 2017,83.7,B
Fall 2017,63.19,F
Fall 2017,72.66,C
Fall 2017,77.63,BC
Fall 2017,75.57,BC
Fall 2017,78.15,BC
Fall 2017,79.43,BC
Fall 2017,78.16,BC
Fall 2017,68.24,F
Fall 2017,62.05,F
Fall 2017,76.4,BC
Fall 2017,74.88,C
Fall 2017,69.67,F
Fall 2017,82.17,B
Fall 2017,68.05,F
Fall 2017,74.82,C
Fall 2017,74.16,C
Fall 2017,76.63,BC
Fall 2017,75.84,BC
Fall 2017,78.11,BC
Fall 2017,77.6,BC
Fall 2017,85.01,AB
Fall 2017,74.27,C
Fall 2017,66.65,F
Fall 2017,71.15,C
Fall 2017,73.22,C
Fall 2017,65.99,F
Fall 2017,75.22,BC
Fall 2017,74.38,C
Fall 2017,75.58,BC
Fall 2017,70.14,C
Fall 2017,81.22,B
Fall 2017,70.28,C
Fall 2017,79.68,BC
Fall 2017,75.86,BC
Fall 2017,74.41,C
Fall 2017,76.92,BC
Fall 2017,73.73,C
Fall 2017,84.05,B
Fall 2017,73.52,C
Fall 2017,73.99,C
Fall 2017,74.64,C
Fall 2017,70.66,C
Fall 2017,71.32,C
Fall 2017,66.41,F
Fall 2017,76.39,BC
Fall 2017,74.01,C
Fall 2017,81.35,B
Fall 2017,74.18,C
Fall 2017,80.73,B
